day,time,session,view,term_view,ad_click,subid1,subid2,subid3,subid4,campaign,country,keyword,useragent
2023-12-14,23:07:30,7a746c6088,1,0,0,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785276141915153|1785276151547938|1785276149506065,07373c14-b277-4f9a-afaf-e7c522c60011,696462_Airport Jobs / DE / AlexIv / [int],DE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/DE RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWeb"
2023-12-14,23:07:38,7a746c6088,0,1,0,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785276141915153|1785276151547938|1785276149506065,07373c14-b277-4f9a-afaf-e7c522c60011,696462_Airport Jobs / DE / AlexIv / [int],DE,Airport Jobs Hiring,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/DE RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWeb"
2023-12-14,23:07:40,7a746c6088,0,0,1,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785276141915153|1785276151547938|1785276149506065,07373c14-b277-4f9a-afaf-e7c522c60011,696462_Airport Jobs / DE / AlexIv / [int],DE,Airport Jobs Hiring,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/DE RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWeb"
2023-12-14,23:15:14,7a746c6088,1,0,0,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785276141915153|1785276151547938|1785276149506065,ff0b68b9-e023-47c6-bbc6-d3c9e15057c9,696462_Airport Jobs / DE / AlexIv / [int],DE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/DE RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWeb"
2023-12-14,23:15:20,7a746c6088,0,1,0,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785276141915153|1785276151547938|1785276149506065,ff0b68b9-e023-47c6-bbc6-d3c9e15057c9,696462_Airport Jobs / DE / AlexIv / [int],DE,Airport Jobs Near Me,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/DE RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWeb"
2023-12-14,23:15:22,7a746c6088,0,0,1,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785276141915153|1785276151547938|1785276149506065,ff0b68b9-e023-47c6-bbc6-d3c9e15057c9,696462_Airport Jobs / DE / AlexIv / [int],DE,Airport Jobs Near Me,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/DE RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWeb"
2023-12-14,23:17:50,7a746c6088,1,0,0,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785276141915153|1785276151547938|1785276149506065,72148ded-74ca-4431-b9b6-69052a86395a,696462_Airport Jobs / DE / AlexIv / [int],DE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/DE RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWeb"
2023-12-14,23:18:05,7a746c6088,1,0,0,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696462%20-%20Airport%20Jobs%20%2F%20DE%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785276141915153|1785276151547938|1785276149506065,72148ded-74ca-4431-b9b6-69052a86395a,696462_Airport Jobs / DE / AlexIv / [int],DE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/DE RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWeb"
2023-12-14,23:03:14,1a90723810,1,0,0,__CAMPAIGN_NAME__,__AID_NAME__,__CID__|__AID__|__CAMPAIGN_ID__,1a1a11a4-40ee-4f5d-b23b-f96839f5e04a,755524_Truck Driver Jobs / DE / AlexIv / [int],SG,,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
2023-12-14,23:03:15,854f9daa8f,1,0,0,__CAMPAIGN_NAME__,__AID_NAME__,__CID__|__AID__|__CAMPAIGN_ID__,1e6953ea-821b-459c-a20f-d3c2aa64a72f,755524_Truck Driver Jobs / DE / AlexIv / [int],SG,,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
