day,time,session,view,term_view,ad_click,subid1,subid2,subid3,subid4,campaign,country,keyword,useragent
2023-12-14,12:16:24,0d61ae863a,1,0,0,,,,,533116_Cinema - PL - [ru]  - Valerii,,,
2023-12-14,12:16:24,544b333fa8,0,1,0,,,,,533116_Cinema - PL - [ru]  - Valerii,,Cinematography Courses Near Me,
2023-12-14,12:02:07,9e22436712,1,0,0,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12 | indo,1785278573111345|1785278578153474|1785278578152498,daedba2e-0b8a-41cd-8925-63bea176c4b2,696448_Airport Jobs / CA / AlexIv / [int],CA,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/CA isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-14,12:02:13,9e22436712,0,1,0,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12 | indo,1785278573111345|1785278578153474|1785278578152498,daedba2e-0b8a-41cd-8925-63bea176c4b2,696448_Airport Jobs / CA / AlexIv / [int],CA,Airport Jobs Hiring,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/CA isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-14,12:02:15,9e22436712,0,0,1,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12 | indo,1785278573111345|1785278578153474|1785278578152498,daedba2e-0b8a-41cd-8925-63bea176c4b2,696448_Airport Jobs / CA / AlexIv / [int],CA,Airport Jobs Hiring,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/CA isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-14,12:09:28,4a81b2960b,1,0,0,Iva1%20-%20Tonic%20%7C%20696448%20-%20Airport%20Jobs%20%2F%20CA%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696448%20-%20Airport%20Jobs%20%2F%20CA%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785278586238001|1785278578155538|1785278578152498,5f0978ab-ca0c-49e1-9663-f0ac2332469f,696448_Airport Jobs / CA / AlexIv / [int],CA,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/4G Channel/App Store ByteLocale/en Region/CA RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWebvi"
2023-12-14,12:09:31,4a81b2960b,0,1,0,Iva1%20-%20Tonic%20%7C%20696448%20-%20Airport%20Jobs%20%2F%20CA%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696448%20-%20Airport%20Jobs%20%2F%20CA%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785278586238001|1785278578155538|1785278578152498,5f0978ab-ca0c-49e1-9663-f0ac2332469f,696448_Airport Jobs / CA / AlexIv / [int],CA,Airport Jobs Hiring,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/4G Channel/App Store ByteLocale/en Region/CA RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWebvi"
2023-12-14,12:09:33,4a81b2960b,0,0,1,Iva1%20-%20Tonic%20%7C%20696448%20-%20Airport%20Jobs%20%2F%20CA%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,Iva1%20-%20Tonic%20%7C%20696448%20-%20Airport%20Jobs%20%2F%20CA%20%2F%20AlexIv%20%2F%20%5Beng%5D%20%,1785278586238001|1785278578155538|1785278578152498,5f0978ab-ca0c-49e1-9663-f0ac2332469f,696448_Airport Jobs / CA / AlexIv / [int],CA,Airport Jobs Hiring,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/4G Channel/App Store ByteLocale/en Region/CA RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWebvi"
2023-12-14,12:39:39,7ec232964c,1,0,0,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12 | indo,1785278573111345|1785278578153474|1785278578152498,f246cabb-dd33-40d6-b771-95d9c63b3387,696448_Airport Jobs / CA / AlexIv / [int],CA,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/CA isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-14,12:39:45,7ec232964c,0,1,0,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12,Iva1 - Tonic | 696448 - Airport Jobs / CA / AlexIv / [eng] | 14.12 | indo,1785278573111345|1785278578153474|1785278578152498,f246cabb-dd33-40d6-b771-95d9c63b3387,696448_Airport Jobs / CA / AlexIv / [int],CA,Airport Jobs Near Me,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/CA isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
