day,time,session,view,term_view,ad_click,subid1,subid2,subid3,subid4,campaign,country,keyword,useragent
2023-12-12,17:00:10,332aeffa40,1,0,0,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520497|1785101844554786|1782883390309393,1e7f90ad-2fe6-415d-8fff-aad1c0aefec6,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 trill_32.4.0 JsSdk/2.0 NetType/4G Channel/App Store ByteLocale/pt Region/JP isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebview/d8"
2023-12-12,17:04:53,4bb6203fa1,1,0,0,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520465|1785101844554786|1782883390309393,97912d55-c856-45ac-8d13-d4c7ea195956,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 trill_31.8.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/pt Region/JP isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebview/d8"
2023-12-12,17:04:58,4bb6203fa1,0,1,0,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520465|1785101844554786|1782883390309393,97912d55-c856-45ac-8d13-d4c7ea195956,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,ドライバー正社員,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 trill_31.8.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/pt Region/JP isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebview/d8"
2023-12-12,17:05:05,4bb6203fa1,0,0,1,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520465|1785101844554786|1782883390309393,97912d55-c856-45ac-8d13-d4c7ea195956,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,ドライバー正社員,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 trill_31.8.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/pt Region/JP isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebview/d8"
2023-12-12,17:07:18,27fea2cbe1,1,0,0,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520497|1785101844554786|1782883390309393,66b966e2-3146-4711-b057-48efce31efce,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 trill_32.2.0 JsSdk/2.0 NetType/4G Channel/App Store ByteLocale/pt Region/JP isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebview/d8"
2023-12-12,17:18:42,8c868250d6,1,0,0,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520481|1785101844554786|1782883390309393,bad60c08-3f2c-4889-a10c-c5870f51aec4,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 trill_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/pt Region/JP isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebview/"
2023-12-12,17:20:46,e01d2e1822,1,0,0,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520497|1785101844554786|1782883390309393,1136fcfe-d640-4218-8ae9-85db77990b5f,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,,"Mozilla/5.0 (Linux; Android 13; WP28 Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 trill_320403 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/trill app_version/32.4.3 By"
2023-12-12,17:20:53,e01d2e1822,0,1,0,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520497|1785101844554786|1782883390309393,1136fcfe-d640-4218-8ae9-85db77990b5f,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,内職,"Mozilla/5.0 (Linux; Android 13; WP28 Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 trill_320403 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/trill app_version/32.4.3 By"
2023-12-12,17:20:56,e01d2e1822,0,0,1,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520497|1785101844554786|1782883390309393,1136fcfe-d640-4218-8ae9-85db77990b5f,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,内職,"Mozilla/5.0 (Linux; Android 13; WP28 Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 trill_320403 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/trill app_version/32.4.3 By"
2023-12-12,17:29:58,5d8086d9e5,1,0,0,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 18.11,Iva1 - Tonic | 767474 - Truck Driver Jobs / JP / AlexIv / [port] | 12.12 | best,1785101820520497|1785101844554786|1782883390309393,50c77caa-4329-4348-974c-e995e894ab22,767474_Truck Driver Jobs / JP / AlexIv / [int],JP,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 trill_32.4.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/pt Region/BR isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebview/"
